date,state,fips,cases,deaths,population,cases_prop
2020-03-09,Arizona,04,6,0,7278717,0.08243210994465096
2020-03-09,California,06,172,2,39512223,0.43530833484109466
2020-03-09,Colorado,08,12,0,5758736,0.2083790609605997
2020-03-09,Connecticut,09,2,0,3565287,0.05609646572632161
2020-03-09,District of Columbia,11,4,0,705749,0.5667737396723197
2020-03-09,Florida,12,14,2,21477737,0.06518377611198051
2020-03-09,Georgia,13,17,0,10617423,0.16011418213251935
2020-03-09,Hawaii,15,2,0,1415872,0.1412557067305519
2020-03-09,Illinois,17,11,0,12671821,0.08680678175615013
2020-03-09,Indiana,18,4,0,6732219,0.05941577361045445
2020-03-09,Iowa,19,8,0,3155070,0.2535601428811405
2020-03-09,Kansas,20,1,0,2913314,0.034325170578935194
2020-03-09,Kentucky,21,5,0,4467673,0.1119150842060285
2020-03-09,Louisiana,22,1,0,4648794,0.021510955314432086
2020-03-09,Maryland,24,6,0,6045680,0.09924441915549614
2020-03-09,Massachusetts,25,41,0,6949503,0.589970246793188
2020-03-09,Minnesota,27,2,0,5639632,0.03546330682569359
2020-03-09,Missouri,29,1,0,6137428,0.016293470163723303
2020-03-09,Nebraska,31,16,0,1934408,0.8271264386830492
2020-03-09,Nevada,32,4,0,3080156,0.12986355236552954
2020-03-09,New Hampshire,33,4,0,1359711,0.2941801603428964
2020-03-09,New Jersey,34,11,0,8882190,0.12384333143064942
2020-03-09,New York,36,142,0,19453561,0.729943479242695
2020-03-09,North Carolina,37,7,0,10488084,0.06674240976712238
2020-03-09,Ohio,39,3,0,11689100,0.025664935709336045
2020-03-09,Oklahoma,40,1,0,3956971,0.02527185566939965
2020-03-09,Oregon,41,13,0,4217737,0.30822215799610075
2020-03-09,Pennsylvania,42,10,0,12801989,0.07811286199355427
